feature,x_eps,y_eps,dataset,learning_rate,weight_decay,dropout
ohd,inf,1.0,cora,0.01,0.0,0.0
ohd,inf,1.0,facebook,0.01,0.0,0.0
ohd,inf,1.0,lastfm,0.01,0.0,0.5
ohd,inf,1.0,pubmed,0.01,0.0,0.0
ohd,inf,inf,cora,0.01,0.0001,0.75
ohd,inf,inf,facebook,0.01,0.0001,0.0
ohd,inf,inf,lastfm,0.01,0.0001,0.5
ohd,inf,inf,pubmed,0.01,0.0001,0.0
one,inf,1.0,cora,0.0001,0.01,0.75
one,inf,1.0,facebook,0.0001,0.01,0.75
one,inf,1.0,lastfm,0.0001,0.01,0.75
one,inf,1.0,pubmed,0.0001,0.0001,0.0
one,inf,inf,cora,0.0001,0.001,0.75
one,inf,inf,facebook,0.0001,0.01,0.75
one,inf,inf,lastfm,0.0001,0.001,0.5
one,inf,inf,pubmed,0.0001,0.001,0.75
raw,1.0,1.0,cora,0.01,0.001,0.5
raw,1.0,1.0,facebook,0.001,0.01,0.5
raw,1.0,1.0,lastfm,0.001,0.0001,0.75
raw,1.0,1.0,pubmed,0.01,0.0001,0.25
raw,1.0,inf,cora,0.01,0.01,0.75
raw,1.0,inf,facebook,0.01,0.01,0.75
raw,1.0,inf,lastfm,0.01,0.01,0.75
raw,1.0,inf,pubmed,0.01,0.01,0.75
raw,inf,1.0,cora,0.01,0.0001,0.75
raw,inf,1.0,facebook,0.01,0.0001,0.25
raw,inf,1.0,lastfm,0.01,0.0001,0.75
raw,inf,1.0,pubmed,0.01,0.0001,0.0
raw,inf,inf,cora,0.01,0.01,0.5
raw,inf,inf,facebook,0.001,0.0001,0.75
raw,inf,inf,lastfm,0.001,0.01,0.25
raw,inf,inf,pubmed,0.01,0.001,0.25
rnd,inf,1.0,cora,0.0001,0.01,0.25
rnd,inf,1.0,facebook,0.0001,0.001,0.0
rnd,inf,1.0,lastfm,0.0001,0.0001,0.5
rnd,inf,1.0,pubmed,0.001,0.001,0.5
rnd,inf,inf,cora,0.001,0.001,0.75
rnd,inf,inf,facebook,0.0001,0.0001,0.0
rnd,inf,inf,lastfm,0.0001,0.0001,0.0
rnd,inf,inf,pubmed,0.001,0.0001,0.75
