dataset,x_eps,y_eps,x_steps,y_steps
cora,0.01,0.5,4,4
cora,0.01,1.0,8,8
cora,0.01,2.0,8,8
cora,0.01,3.0,8,8
cora,0.01,inf,8,0
cora,0.1,0.5,0,8
cora,0.1,1.0,2,4
cora,0.1,2.0,16,4
cora,0.1,3.0,8,4
cora,0.1,inf,16,0
cora,1.0,0.5,2,8
cora,1.0,1.0,2,8
cora,1.0,2.0,8,4
cora,1.0,3.0,16,4
cora,1.0,inf,16,0
cora,2.0,0.5,8,8
cora,2.0,1.0,4,8
cora,2.0,2.0,8,4
cora,2.0,3.0,16,2
cora,2.0,inf,16,0
cora,3.0,0.5,2,8
cora,3.0,1.0,16,8
cora,3.0,2.0,8,4
cora,3.0,3.0,16,2
cora,3.0,inf,16,0
cora,inf,0.5,4,8
cora,inf,1.0,0,4
cora,inf,2.0,0,4
cora,inf,3.0,0,2
cora,inf,inf,0,0
facebook,0.01,0.5,2,4
facebook,0.01,1.0,4,2
facebook,0.01,2.0,4,2
facebook,0.01,3.0,4,2
facebook,0.01,inf,8,0
facebook,0.1,0.5,8,4
facebook,0.1,1.0,2,4
facebook,0.1,2.0,4,2
facebook,0.1,3.0,4,2
facebook,0.1,inf,8,0
facebook,1.0,0.5,8,4
facebook,1.0,1.0,2,4
facebook,1.0,2.0,4,2
facebook,1.0,3.0,16,0
facebook,1.0,inf,8,0
facebook,2.0,0.5,8,4
facebook,2.0,1.0,2,4
facebook,2.0,2.0,4,2
facebook,2.0,3.0,8,0
facebook,2.0,inf,8,0
facebook,3.0,0.5,8,4
facebook,3.0,1.0,2,4
facebook,3.0,2.0,4,2
facebook,3.0,3.0,4,2
facebook,3.0,inf,8,0
facebook,inf,0.5,2,2
facebook,inf,1.0,0,2
facebook,inf,2.0,0,2
facebook,inf,3.0,2,0
facebook,inf,inf,0,0
lastfm,0.01,0.5,4,4
lastfm,0.01,1.0,4,4
lastfm,0.01,2.0,2,4
lastfm,0.01,3.0,4,2
lastfm,0.01,inf,4,0
lastfm,0.1,0.5,8,4
lastfm,0.1,1.0,2,4
lastfm,0.1,2.0,8,2
lastfm,0.1,3.0,8,4
lastfm,0.1,inf,2,0
lastfm,1.0,0.5,8,8
lastfm,1.0,1.0,4,4
lastfm,1.0,2.0,4,4
lastfm,1.0,3.0,4,2
lastfm,1.0,inf,8,0
lastfm,2.0,0.5,4,8
lastfm,2.0,1.0,2,4
lastfm,2.0,2.0,4,4
lastfm,2.0,3.0,16,0
lastfm,2.0,inf,16,0
lastfm,3.0,0.5,16,8
lastfm,3.0,1.0,2,4
lastfm,3.0,2.0,2,4
lastfm,3.0,3.0,16,0
lastfm,3.0,inf,16,0
lastfm,inf,0.5,0,4
lastfm,inf,1.0,0,2
lastfm,inf,2.0,0,2
lastfm,inf,3.0,4,0
lastfm,inf,inf,0,0
pubmed,0.01,0.5,16,2
pubmed,0.01,1.0,16,2
pubmed,0.01,2.0,16,2
pubmed,0.01,3.0,16,2
pubmed,0.01,inf,16,0
pubmed,0.1,0.5,4,4
pubmed,0.1,1.0,8,2
pubmed,0.1,2.0,8,2
pubmed,0.1,3.0,16,0
pubmed,0.1,inf,16,0
pubmed,1.0,0.5,0,4
pubmed,1.0,1.0,4,2
pubmed,1.0,2.0,16,0
pubmed,1.0,3.0,16,0
pubmed,1.0,inf,16,0
pubmed,2.0,0.5,0,4
pubmed,2.0,1.0,4,2
pubmed,2.0,2.0,16,0
pubmed,2.0,3.0,16,0
pubmed,2.0,inf,16,0
pubmed,3.0,0.5,0,4
pubmed,3.0,1.0,4,2
pubmed,3.0,2.0,16,0
pubmed,3.0,3.0,16,0
pubmed,3.0,inf,16,0
pubmed,inf,0.5,0,2
pubmed,inf,1.0,0,2
pubmed,inf,2.0,0,0
pubmed,inf,3.0,0,0
pubmed,inf,inf,0,0
